Acc	Feature	Taxa	SRR532024	SRR532015	SRR532006	SRR532040	SRR532504	SRR532507	SRR638753	SRR640357	SRR640340	SRR640452	SRR640499	SRR545546	SRR062353	SRR062357	SRR062301	SRR062276	SRR1804686	SRR1804628	SRR514191	SRR514180	SRR513168	SRR514231	SRR513448	SRR062435	SRR062441	SRR062389	SRR062413	SRR062402	SRR062396	SRR346673	SRR346681	SRR062371	SRR062372	SRR062462	SRR062415	SRR528423	SRR528353	SRR528300	SRR528261	SRR528183	SRR528155	SRR532178	SRR532183	SRR532190	SRR532191	SRR533152	SRR533153
UNGROUPED	UNGROUPED	g__Abiotrophia.s__Abiotrophia_defectiva	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	780	771	183	343	0	281	661	477	332	348	629	670	0	0	0	0	0	0	0	0	0	0	0	0
UNGROUPED	UNGROUPED	g__Actinobaculum.s__Actinobaculum_sp_oral_taxon_183	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	586876	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
UNGROUPED	UNGROUPED	g__Actinomyces.s__Actinomyces_graevenitzii	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	233	0	0	297	432	833	688	2468	2416	4773	4663	6582	5703	393	300	0	0	0	0	0	0	0	0	0	0	0	0
UNGROUPED	UNGROUPED	g__Actinomyces.s__Actinomyces_johnsonii	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	138918	0	0	0	0	0	0	0	0	0	1287	828	0	0	0	0	0	0	0	0	0	0	0	0	0	0
UNGROUPED	UNGROUPED	g__Actinomyces.s__Actinomyces_massiliensis	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	269269	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
UNGROUPED	UNGROUPED	g__Actinomyces.s__Actinomyces_naeslundii	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	141809	0	0	0	0	0	0	0	0	0	642	693	536	583	0	0	0	0	0	0	0	0	0	0	0	0
UNGROUPED	UNGROUPED	g__Actinomyces.s__Actinomyces_odontolyticus	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	861	1091	1557	1438	6646	6976	12216	12704	11679	10605	2675	2895	0	0	0	0	0	0	0	0	0	0	0	0
UNGROUPED	UNGROUPED	g__Actinomyces.s__Actinomyces_oris	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1715	0	703475	0	0	0	0	0	0	0	0	0	2857	2058	1815	1701	0	0	0	0	0	0	0	0	0	0	0	0
UNGROUPED	UNGROUPED	g__Actinomyces.s__Actinomyces_sp_ICM47	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	11866	9792	0	0	0	0	0	0	0	0	0	0	0	0	0	0
UNGROUPED	UNGROUPED	g__Actinomyces.s__Actinomyces_sp_oral_taxon_171	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	945901	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
UNGROUPED	UNGROUPED	g__Actinomyces.s__Actinomyces_viscosus	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1065	0	613116	0	555	669	413	0	252	375	643	970	1886	1439	1507	1792	0	0	0	0	0	0	0	0	0	0	0	0
UNGROUPED	UNGROUPED	g__Aggregatibacter.s__Aggregatibacter_aphrophilus	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	28137	28986	3730	4216	0	0	0	0	2171	2125	10530	10219	0	0	0	0	0	0	0	0	0	0	0	0
